,Country,Year,Life expectancy at birth (years),GDP,Value
0,Chile,2000,77.3,77860932152.0,52.6
1,Chile,2000,77.3,77860932152.0,59.1
2,Chile,2000,77.3,77860932152.0,64.5
3,Chile,2000,77.3,77860932152.0,57.4
4,Chile,2000,77.3,77860932152.0,4.6
5,Chile,2000,77.3,77860932152.0,6.2
6,Chile,2000,77.3,77860932152.0,5.6
7,Chile,2000,77.3,77860932152.0,7.3
8,Chile,2001,77.3,70979923960.0,52.6
9,Chile,2001,77.3,70979923960.0,59.1
10,Chile,2001,77.3,70979923960.0,64.5
11,Chile,2001,77.3,70979923960.0,57.4
12,Chile,2001,77.3,70979923960.0,4.6
13,Chile,2001,77.3,70979923960.0,6.2
14,Chile,2001,77.3,70979923960.0,5.6
15,Chile,2001,77.3,70979923960.0,7.3
16,Chile,2002,77.8,69736811435.0,52.6
17,Chile,2002,77.8,69736811435.0,59.1
18,Chile,2002,77.8,69736811435.0,64.5
19,Chile,2002,77.8,69736811435.0,57.4
20,Chile,2002,77.8,69736811435.0,4.6
21,Chile,2002,77.8,69736811435.0,6.2
22,Chile,2002,77.8,69736811435.0,5.6
23,Chile,2002,77.8,69736811435.0,7.3
24,Chile,2003,77.9,75643459840.0,52.6
25,Chile,2003,77.9,75643459840.0,59.1
26,Chile,2003,77.9,75643459840.0,64.5
27,Chile,2003,77.9,75643459840.0,57.4
28,Chile,2003,77.9,75643459840.0,4.6
29,Chile,2003,77.9,75643459840.0,6.2
30,Chile,2003,77.9,75643459840.0,5.6
31,Chile,2003,77.9,75643459840.0,7.3
32,Chile,2004,78.0,99210392858.0,52.6
33,Chile,2004,78.0,99210392858.0,59.1
34,Chile,2004,78.0,99210392858.0,64.5
35,Chile,2004,78.0,99210392858.0,57.4
36,Chile,2004,78.0,99210392858.0,4.6
37,Chile,2004,78.0,99210392858.0,6.2
38,Chile,2004,78.0,99210392858.0,5.6
39,Chile,2004,78.0,99210392858.0,7.3
40,Chile,2005,78.4,122965000000.0,52.6
41,Chile,2005,78.4,122965000000.0,59.1
42,Chile,2005,78.4,122965000000.0,64.5
43,Chile,2005,78.4,122965000000.0,57.4
44,Chile,2005,78.4,122965000000.0,4.6
45,Chile,2005,78.4,122965000000.0,6.2
46,Chile,2005,78.4,122965000000.0,5.6
47,Chile,2005,78.4,122965000000.0,7.3
48,Chile,2006,78.9,154788000000.0,52.6
49,Chile,2006,78.9,154788000000.0,59.1
50,Chile,2006,78.9,154788000000.0,64.5
51,Chile,2006,78.9,154788000000.0,57.4
