"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",84,,
"AUS","Australia","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",84.9,,
"AUS","Australia","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",85.4,,
"AUS","Australia","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",85.2,,
"AUT","Austria","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",71.2,,
"AUT","Austria","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",71.7,,
"AUT","Austria","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",72,,
"AUT","Austria","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",72.3,,
"AUT","Austria","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",70,,
"AUT","Austria","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",70,,
"AUT","Austria","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",69.5,,
"AUT","Austria","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",68.7,,
"AUT","Austria","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",70,,
"AUT","Austria","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",68.6,,
"AUT","Austria","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",69.5,,
"AUT","Austria","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",69.8,,
"BEL","Belgium","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",73.5,,
"BEL","Belgium","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",73.1,,
"BEL","Belgium","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",74.3,,
"BEL","Belgium","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",74,,
"BEL","Belgium","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",73.9,,
"BEL","Belgium","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",73.5,,
"BEL","Belgium","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",73,,
"BEL","Belgium","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",73.5,,
"BEL","Belgium","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",74.5,,
"BEL","Belgium","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",74.3,,
"BEL","Belgium","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",75,,
"BEL","Belgium","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",74.6,,
"CAN","Canada","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",88.4,,
"CAN","Canada","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",88.2,,
"CAN","Canada","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",88.1,,
"CAN","Canada","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",88.5,,
"CAN","Canada","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",88.1,,
"CAN","Canada","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",88.2,,
"CAN","Canada","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",88.8,,
"CAN","Canada","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",88.7,,
"CAN","Canada","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",88.1,,
"CAN","Canada","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",89,,
